"user_id"	"living_place"	"join_time"	"self_statement"	"UID"
"100274687"	"上海"	"2014-09-06"	"一个超级爱看电影的迷"	"1"
"100665563"	"江苏南京"	"2014-09-09"	"已婚人妻 嫁了一个小警察 想养一只像史努比一样的狗子 以及，我真的不姓夏"	"2"
"1019579"	"北京"	"2005-09-04"	" 游隼。 "	"3"
"102461883"	"湖北武汉"	"2014-09-28"	"略略略 "	"4"
"103113112"	"北京"	"2014-10-11"	" 如果摇晃就化成雾 对我来说的所谓美，必须是这样的东西，从人生中阻隔我，又从人生中保护我。 三岛由纪夫 迷恋是一种吞噬。 杜拉斯 喜欢所有的卓尔不群。 个人公众号 茶吔哎荼 chayeaitu 诺贝尔寂寞奖终身得主，最丧也最甜美。 "	"5"
"103622760"	"黑龙江双鸭山"	"2014-10-21"		"6"
"104192010"	"江苏无锡"	"2014-10-27"	"爱电影爱生活"	"7"
"104609781"	"澳门"	"2014-10-31"	" 不忘初心方得始终这种淡鸡汤，我早就喝不下去了。 请问店家有人参当归黄芪味儿的么。 争取戒烟不戒酒。抱着几瓶小药丸，我就摇啊摇到了外婆桥。 "	"8"
"104646596"	"浙江嘉兴"	"2014-11-01"	"疯言疯语"	"9"
"106153599"	"四川成都"	"2014-11-07"	"为你做一束火花"	"10"
"1061574"	"广东广州"	"2005-12-09"	"被罗老师冠名“家养大明白”"	"11"
"106158909"	"江苏宜兴"	"2014-11-07"	"补上我曾看过的电影"	"12"
"106347535"	"Washington, D.C, United States"	"2014-11-08"	"主标记电影剧集 音乐 Live in fantasy, enjoy the moment. I love another, and thus I hate myself. FKA Twigs LP1 自由或许是我们一直在追求却无从到手的伪命题 它大约就如沃尔特珍爱的一同名叫麻鳽的鸟 “它们在地面上谦卑而鬼祟 一如它们那泥泞的生存环境 但一旦飞上天空 却高贵而骄傲” 自由 真理啊 不要太留意我 尊严啊 请对我宽大为怀 灵魂啊 别谴责我偶尔才保有你 我为自己不能无所不在向万物致歉 致 维斯拉瓦 辛波丝卡 创造生命必须两个人 但是离开世界只要孤身一人 生命的意义在于死后的长眠 世界就将这样结束 晦涩如思 冷静若思 真实是死 在我弥留之际As I Lay Dying 她是这个世界上最后的牛仔 整个人都充斥着浪漫与失败 美国情人 “你找到你此生想要的了吗？” “找到了。” “你想要什么？” “能成为被爱的人，在地球上感受到被爱” 雷蒙德 卡佛 迟来的碎片 我们都面临着牺牲 牺牲自我来凸显家庭的含义 每一代人都有他们的痛苦 不同年代的认知都必须用鸿沟来衡量 打量你身边拥有的一切 然后闭上眼睛 想想其他你拥有的东西 反正睁着眼睛 你是看不到那些真正值得拥有的 你怎么找到他们的 这不重要 能维持多久 也不重要 那些最好的 最明亮的 最温暖的 最终都会熄灭 这不是你能控制的 但是你现在拥有它们 这就有了意义 以它本来的 安静的方式 这就是奇迹 The Outs "	"13"
"10648336"	"湖南长沙"	"2009-09-09"		"14"
"10710034"	"台北, 台湾"	"2009-09-10"	"看看電影，看看書"	"15"
"108040008"	"内蒙古呼和浩特"	"2014-11-15"	"以前叫尼莫，来自电影 无姓之人 微信公众号 时间倒影 我，影迷，影视行业从业者 钟爱的作家 马克吐温 卡夫卡 马尔克斯 帕慕克 曹雪芹 鲁迅 老舍 敬仰的诗人 海亚姆 哈菲兹 聂鲁达 庞德 特朗斯特罗姆 曹植 李白 纳兰性德 最爱九大导演 卓别林 库布里克 黑泽明 王家卫 特吕弗 姜文 今敏 多梅尔 斯科塞斯 个人影史十佳 1.偷自行车的人 2.教父 教父2 3.城市之光 4.2001太空漫游 5.八部半 6.活着 7.生命之树 8.生之欲 9.七武士 10.鬼子来了 11至20 11.愤怒的公牛 12.四百击 13.春光乍泄 14.出租车司机 15.去年在马里昂巴德 16.花样年华 17.恐怖走廊 18.地下 19.大独裁者 20.审判 就这样吧。"	"16"
"108077404"	"北京"	"2014-11-15"		"17"
"108335923"	"湖南长沙"	"2014-11-16"		"18"
"1083626"	"广东深圳"	"2006-01-16"		"19"
"108605652"		"2014-11-17"	"也不是什么都没有发生，但好像也没有发生什么。"	"20"
"108693709"	"北京"	"2014-11-18"		"21"
"109675942"	"香港"	"2014-11-22"	"冷眼甘为孺子牛"	"22"
"109842980"	"江苏南京"	"2014-11-22"		"23"
"11020421"	"湖北武汉"	"2009-09-11"	"blog地址 http blog.sina.com.cn u 1295898667 热爱电影是一生的事 "	"24"
"11189422"	"北京"	"2009-09-12"	"向外行走，向内灌酒。"	"25"
"113203858"	"北京"	"2014-11-28"		"26"
"113227256"	"上海"	"2014-11-28"	"为你，千千万万遍。"	"27"
"113274139"	"辽宁沈阳"	"2014-11-29"	"阳春白雪，下里巴人。 只迷电影，莫要装逼。"	"28"
"1140109"	"湖南长沙"	"2006-04-12"	" http weibo.com weixiaobolonglive 诗集购买地址 https shop62599792.taobao.com spm 2013.1.1000126.2.JckGZZ 一共印了100本，最后90本了，快买。"	"29"
"114310183"	"北京"	"2014-12-04"		"30"
"11466161"		"2009-09-13"	"I get easily bored"	"31"
"1153237"	"广西南宁"	"2006-04-27"	"无书不欢 不走会瘫"	"32"
"1170659"	"湖北武汉"	"2006-05-18"	"That s me."	"33"
"1170905"	"辽宁沈阳"	"2006-05-19"	"blog地址 http blog.sina.com.cn u 1251826065 微博 http weibo.com 1251826065 豆瓣音乐人http site.douban.com DAMOLIULANGZHE 阿白 Aai ，自由撰稿人，独立音乐人，独立戏剧编导。曾組建punk樂隊 攪水男孩 ，任主唱和詞曲創作。先后参加和策划了多场深入人心的音乐会，如“艺术家的精神聚会”音乐会 抚顺雷峰体育场音乐会 光大银行99秋季高校 鲁迅美术学院 户外摇滚音乐会等 作品 化学尸体 被 我爱摇滚乐 杂志刊载。自組實驗戲劇團體 脾氣暴公社 ，創作並演出獨幕劇 幸福超市 。在深圳結識實驗電子樂手ZenLu，步入全新的聆聽與創作領域，先后组建“郑伯伯三重奏”与“梵”两支乐团，在深圳根据地酒吧，佛山元丽和画廊，深圳OCT艺术中心，广州龙堂进行多次现场演出。2006年組建藝術團體 make24 ，編劇並導演實驗戲劇 四事無常 。2007年初與ZenLu組建藝術團體 neo sound ，并策划深圳大声展咖喱秀，演出实验短剧 辐射 。年底以实验多媒体戏剧 城市焦虑 参加深圳建筑艺术双年展的开幕演出。2008返回沈阳，与独立电影导演刘洋组建“七五四电影工作室”，参加“声音与实践”咖喱秀的戏剧与音乐演出。2009年与山东艺术家韩涛合作电影剧本 黄河三部曲 。2010年，组建“幸福超市”戏剧小组，创作并演出实验黑色幽默喜剧 下流人生 。2011年，组建新乐队“达摩流浪者”，开始新一轮的音乐活动。同年，与著名音乐人萧寒共同发起“北歌音乐运动”。 "	"34"
"1175269"	"上海"	"2006-05-24"	"除了生活中的熟人和想要经常互动的豆友，其他人无需关注，谢谢。 在三流公办大学工作的下九流教师。 健康的爱好 司汤达 京剧 人文 科技纪录片 英国喜剧 高迪 the man from u.n.c.l.e 六十年代美国电视剧 罪案小说 影视剧 不健康的爱好 牛肉拉面 党史片 碳酸饮料 不跟扎克 施耐德爱好者交流。对扎导本人无偏见，对扎导粉敬而远之。"	"35"
"1175766"	"广东广州"	"2006-05-25"	" "	"36"
"1182787"	"辽宁大连"	"2006-06-02"	"微博地址 http weibo.com zhiyuzile 微信公号 别离以前 bieliyiqian 我相信全人类都是生而为了写一本书，而不是为了其他任何事物。一本才华横溢或一本平凡不过的书，都没关系，但是什么都不写的人就是个迷失生命的人，他只在这块土地上经过，却未曾留下任何遗迹。 维多"	"37"
"1184400"	"台北, 台湾"	"2006-06-04"		"38"
"119316126"	"北京"	"2015-01-04"	"骨子里一半自私凉薄，一半脆弱疯魔。"	"39"
"119429128"		"2015-01-05"	"离你越近情越怯"	"40"
"119704832"		"2015-01-10"	"想吃火锅"	"41"
"119891785"		"2015-01-12"	"活着吧没劲，不活吧也没劲"	"42"
"120060064"	"北京"	"2015-01-14"		"43"
"120213623"	"上海"	"2015-01-17"	"Peace "	"44"
"120282395"	"江苏南京"	"2015-01-19"	"阡陌红尘，终究一场繁花落寞。 All endings are beginnings we just don t know it at the time. Buried city, to shut all lights. Between Heaven and Earth every single step of ours is at full throttle, while every single road is twisting and turning. There is no constant view "	"45"
"120387339"		"2015-01-21"	"虚度即正义"	"46"
"120668145"	"江苏南京"	"2015-01-28"	"对你的感觉强烈 却又不太了解 只凭直觉"	"47"
"120952542"	"Nice, France"	"2015-02-02"	"慢下来，享受生活。快起来，完成task。 整理图片放海报。最迟10号搞定。 看着片单，莫名惊慌。 未来我会更独立更自由，此刻还没有。 未来我会被很多人喜欢，此刻还没有。 未来我会忘记你，此刻还没有。 但我知道，此刻还没有的一切，未来一定会有。 2018补完2017 2018奥斯卡佳片 希望看完500 部 "	"48"
"121128496"	"浙江绍兴"	"2015-02-06"	"要成为不瞎看电影的人 做一下平淡天真的人"	"49"
"1211567"	"北京"	"2006-07-12"	"宅，腐，爱好 RPG游戏，日漫，少年向以及耽美向小说，颜狗"	"50"
"121300892"		"2015-02-09"	"电影爱好者"	"51"
"121537266"	"北京"	"2015-02-14"	"心灵和躯体，总有一个在路上。 至少我希望能够如此。 从所有的明天开始，找回生活，体验生活，热爱生活。 我在路过的每一个十字路口驻足，走走又停停。 下一个转角，我会不会猝不及防遇见妳。 I could be so much stronger."	"52"
"121664313"	"河北邢台"	"2015-02-18"		"53"
"121721693"	"Lyon, France"	"2015-02-19"	"在法国漂的机械工程师，没事儿去电影院看看电影或者在家里面看些经典的。"	"54"
"121861331"	"台中, 台湾"	"2015-02-23"	"我實在愛寫正體字，也請您能夠一起來欣賞中國的傳統正體文字之美。 別讓她失傳了。"	"55"
"121923605"	"北京"	"2015-02-24"		"56"
"121933130"	"北京"	"2015-02-24"	" 天使都在图书馆，死神都在CD店 “是他们逼我流了第一滴血。” “所有的时空穿越都不能让别人爱上你。” 想要一件快银小天使的战袍，然后赶去营救整个泽维尔天赋少年学院。 喜欢电影院，做个好观众。 喜欢骑车，希望大家都能遵守交通规则。 人与人之间最可贵是 了解 ，最可怕也如是。 微博 http weibo.com haoxiaoshao 红领巾迎着太阳，阳光撒在海面上。"	"57"
"122139992"		"2015-02-28"	"要死的紧"	"58"
"122288527"	"四川成都"	"2015-03-03"	"众多孤星之中还是找得到你"	"59"
"122419062"	"桃园县, 台湾"	"2015-03-06"	"臺灣人，愛看電影的大學生。"	"60"
"122593423"	"四川绵阳"	"2015-03-08"	"吧啦der吧啦"	"61"
"123101190"	"北京"	"2015-03-18"		"62"
"1233038"	"北京"	"2006-08-12"	"杨时旸，专栏作家，影评人， 中国新闻周刊 主笔。 所有转载及其他工作事宜，请豆邮。 新书 并没有如愿以偿的人生 上市 豆瓣 https book.douban.com subject 26757648 当当 http product.dangdang.com 23928562.html ddclickunion P 306226 1233038 s26757648 京东 http item.jd.com 11905610.html 亚马逊 https www.amazon.cn E5 9B BE E4 B9 A6 dp B01E4Y8VT4 ie UTF8 creative 2384 creativeASIN B01E4Y8VT4 linkCode df0 ref asc df B01E4Y8VT42072342 tag douban 23"	"63"
